ISO;YEAR;BANKING_CRISIS
COL;1982;
COL;1983;
COL;1984;
COL;1985;
COL;1986;
COL;1987;
COL;1988;
COL;1989;
COL;1990;
COL;1991;
COL;1992;
COL;1993;0.0
COL;1994;0.0
COL;1995;0.0
COL;1996;0.0
COL;1997;0.0
COL;1998;0.0
COL;1999;0.0
COL;2000;1.0
COL;2001;1.0
COL;2002;1.0
COL;2003;1.0
COL;2004;1.0
COL;2005;0.0
COL;2006;0.0
COL;2007;0.0
COL;2008;0.0
COL;2009;0.0
COL;2010;0.0
COL;2011;0.0
COL;2012;0.0
COL;2013;0.0
COL;2014;0.0
COL;2015;0.0
COL;2016;0.0
COL;2017;0.0
COL;2018;0.0
COL;2019;0.0
COL;2020;0.0
COL;2021;0.0
COL;2022;0.0
COL;2023;
CYP;1950;
CYP;1951;
CYP;1952;
CYP;1953;
CYP;1954;
CYP;1955;
CYP;1956;
CYP;1957;
CYP;1958;
CYP;1959;
CYP;1960;
CYP;1961;
CYP;1962;
CYP;1963;
CYP;1964;
CYP;1965;
CYP;1966;
CYP;1967;
CYP;1968;
CYP;1969;
CYP;1970;
CYP;1971;
CYP;1972;
CYP;1973;
CYP;1974;
CYP;1975;
CYP;1976;
CYP;1977;
CYP;1978;
CYP;1979;
CYP;1980;
CYP;1981;
CYP;1982;
CYP;1983;
CYP;1984;
CYP;1985;
CYP;1986;
CYP;1987;
CYP;1988;
CYP;1989;
CYP;1990;
CYP;1991;
CYP;1992;
CYP;1993;0.0
CYP;1994;0.0
CYP;1995;0.0
CYP;1996;0.0
CYP;1997;0.0
CYP;1998;0.0
CYP;1999;0.0
CYP;2000;0.0
CYP;2001;1.0
CYP;2002;1.0
CYP;2003;1.0
CYP;2004;1.0
CYP;2005;1.0
CYP;2006;1.0
CYP;2007;0.0
CYP;2008;1.0
CYP;2009;1.0
CYP;2010;1.0
CYP;2011;1.0
CYP;2012;1.0
CYP;2013;1.0
CYP;2014;1.0
CYP;2015;1.0
CYP;2016;1.0
