ISO;YEAR;crisis_FR;crisis_EMP
AFG;1983Q3;0.0;
AFG;1983Q4;0.0;
AFG;1984Q1;0.0;
AFG;1984Q2;0.0;
AFG;1984Q3;0.0;
AFG;1984Q4;0.0;
AFG;1985Q1;0.0;
AFG;1985Q2;0.0;
AFG;1985Q3;0.0;
AFG;1985Q4;0.0;
AFG;1986Q1;0.0;
AFG;1986Q2;0.0;
AFG;1986Q3;0.0;
AFG;1986Q4;0.0;
AFG;1987Q1;0.0;
AFG;1987Q2;0.0;
AFG;1987Q3;0.0;
AFG;1987Q4;0.0;
AFG;1988Q1;0.0;
AFG;1988Q2;0.0;
AFG;1988Q3;0.0;
AFG;1988Q4;0.0;
AFG;1989Q1;0.0;
AFG;1989Q2;0.0;
AFG;1989Q3;0.0;
AFG;1989Q4;0.0;
AFG;1990Q1;0.0;
AFG;1990Q2;0.0;
AFG;1990Q3;0.0;
AFG;1990Q4;0.0;
AFG;1991Q1;0.0;
AFG;1991Q2;0.0;
AFG;1991Q3;0.0;
AFG;1991Q4;0.0;
AFG;1992Q1;0.0;
AFG;1992Q2;0.0;
AFG;1992Q3;0.0;
AFG;1992Q4;0.0;
AFG;1993Q1;0.0;
AFG;1993Q2;0.0;
AFG;1993Q3;0.0;
AFG;1993Q4;0.0;
AFG;1994Q1;0.0;
AFG;1994Q2;0.0;
AFG;1994Q3;0.0;
AFG;1994Q4;0.0;
AFG;1995Q1;0.0;
AFG;1995Q2;0.0;
AFG;1995Q3;0.0;
AFG;1995Q4;0.0;
AFG;1996Q1;1.0;
AFG;1996Q2;1.0;
AFG;1996Q3;1.0;
AFG;1996Q4;0.0;
AFG;1997Q1;0.0;
AFG;1997Q2;0.0;
AFG;1997Q3;0.0;
AFG;1997Q4;0.0;
AFG;1998Q1;0.0;
AFG;1998Q2;0.0;
AFG;1998Q3;0.0;
AFG;1998Q4;0.0;
AFG;1999Q1;0.0;
AFG;1999Q2;0.0;
AFG;1999Q3;0.0;
AFG;1999Q4;0.0;
AFG;2000Q1;0.0;
AFG;2000Q2;0.0;
AFG;2000Q3;0.0;
AFG;2000Q4;0.0;
AFG;2001Q1;0.0;
AFG;2001Q2;0.0;
AFG;2001Q3;0.0;
AFG;2001Q4;0.0;
AFG;2002Q1;0.0;
AFG;2002Q2;0.0;
AFG;2002Q3;0.0;
AFG;2002Q4;0.0;
AFG;2003Q1;0.0;
AFG;2003Q2;0.0;
AFG;2003Q3;0.0;
AFG;2003Q4;0.0;
AFG;2004Q1;0.0;
AFG;2004Q2;0.0;
AFG;2004Q3;0.0;
AFG;2004Q4;0.0;
AFG;2005Q1;0.0;
AFG;2005Q2;0.0;
AFG;2005Q3;0.0;
AFG;2005Q4;0.0;
AFG;2006Q1;0.0;
AFG;2006Q2;0.0;
AFG;2006Q3;0.0;
AFG;2006Q4;0.0;
AFG;2007Q1;0.0;
AFG;2007Q2;0.0;
AFG;2007Q3;0.0;
AFG;2007Q4;0.0;
AFG;2008Q1;0.0;
AFG;2008Q2;0.0;
AFG;2008Q3;0.0;
AFG;2008Q4;0.0;
AFG;2009Q1;0.0;
AFG;2009Q2;0.0;
AFG;2009Q3;0.0;
AFG;2009Q4;0.0;
AFG;2010Q1;0.0;
AFG;2010Q2;0.0;
AFG;2010Q3;0.0;
AFG;2010Q4;0.0;
AFG;2011Q1;0.0;
AFG;2011Q2;0.0;
AFG;2011Q3;0.0;
AFG;2011Q4;0.0;
AFG;2012Q1;0.0;
AFG;2012Q2;0.0;
AFG;2012Q3;0.0;
AFG;2012Q4;0.0;
AFG;2013Q1;0.0;
AFG;2013Q2;0.0;
AFG;2013Q3;0.0;
AFG;2013Q4;0.0;
AFG;2014Q1;0.0;
AFG;2014Q2;0.0;
AFG;2014Q3;0.0;
AFG;2014Q4;0.0;
AFG;2015Q1;0.0;
AFG;2015Q2;0.0;
AFG;2015Q3;0.0;
AFG;2015Q4;0.0;
AFG;2016Q1;0.0;
AFG;2016Q2;0.0;
AFG;2016Q3;0.0;
AFG;2016Q4;0.0;
AFG;2017Q1;0.0;0.0
AFG;2017Q2;0.0;0.0
AFG;2017Q3;0.0;0.0
AFG;2017Q4;0.0;0.0
AFG;2018Q1;0.0;0.0
AFG;2018Q2;0.0;0.0
AFG;2018Q3;0.0;0.0
AFG;2018Q4;0.0;0.0
AFG;2019Q1;0.0;0.0
AFG;2019Q2;0.0;0.0
AFG;2019Q3;0.0;0.0
AFG;2019Q4;0.0;0.0
AFG;2020Q1;0.0;0.0
AFG;2020Q2;0.0;0.0
AFG;2020Q3;0.0;0.0
AFG;2020Q4;0.0;0.0
AFG;2021Q1;0.0;0.0
AFG;2021Q2;0.0;
AFG;2021Q3;0.0;
AFG;2021Q4;0.0;
AFG;2022Q1;0.0;
AFG;2022Q2;0.0;
AFG;2022Q3;0.0;
AFG;2022Q4;0.0;
AGO;1920Q1;;
AGO;1920Q2;;
AGO;1920Q3;;
AGO;1920Q4;;
AGO;1921Q1;;
AGO;1921Q2;;
AGO;1921Q3;;
AGO;1921Q4;;
AGO;1922Q1;;
AGO;1922Q2;;
AGO;1922Q3;;
AGO;1922Q4;;
AGO;1923Q1;;
AGO;1923Q2;;
AGO;1923Q3;;
AGO;1923Q4;;
AGO;1924Q1;;
AGO;1924Q2;;
AGO;1924Q3;;
AGO;1924Q4;;
AGO;1925Q1;;
AGO;1925Q2;;
AGO;1925Q3;;
AGO;1925Q4;;
AGO;1926Q1;;
AGO;1926Q2;;
AGO;1926Q3;;
AGO;1926Q4;;
AGO;1927Q1;;
AGO;1927Q2;;
AGO;1927Q3;;
AGO;1927Q4;;
AGO;1928Q1;;
AGO;1928Q2;;
AGO;1928Q3;;
AGO;1928Q4;;
AGO;1929Q1;;
AGO;1929Q2;;
AGO;1929Q3;;
AGO;1929Q4;;
AGO;1930Q1;;
AGO;1930Q2;;
AGO;1930Q3;;
AGO;1930Q4;;
AGO;1931Q1;;
AGO;1931Q2;;
AGO;1931Q3;;
AGO;1931Q4;;
AGO;1932Q1;;
AGO;1932Q2;;
AGO;1932Q3;;
AGO;1932Q4;;
AGO;1933Q1;;
AGO;1933Q2;;
AGO;1933Q3;;
AGO;1933Q4;;
AGO;1934Q1;;
AGO;1934Q2;;
AGO;1934Q3;;
AGO;1934Q4;;
AGO;1935Q1;;
AGO;1935Q2;;
AGO;1935Q3;;
AGO;1935Q4;;
AGO;1936Q1;;
AGO;1936Q2;;
AGO;1936Q3;;
AGO;1936Q4;;
AGO;1937Q1;;
AGO;1937Q2;;
AGO;1937Q3;;
AGO;1937Q4;;
AGO;1938Q1;;
AGO;1938Q2;;
AGO;1938Q3;;
AGO;1938Q4;;
AGO;1939Q1;;
AGO;1939Q2;;
AGO;1939Q3;;
AGO;1939Q4;;
AGO;1940Q1;;
AGO;1940Q2;;
AGO;1940Q3;;
AGO;1940Q4;;
AGO;1941Q1;;
AGO;1941Q2;;
AGO;1941Q3;;
AGO;1941Q4;;
AGO;1942Q1;;
AGO;1942Q2;;
AGO;1942Q3;;
AGO;1942Q4;;
AGO;1943Q1;;
AGO;1943Q2;;
AGO;1943Q3;;
AGO;1943Q4;;
AGO;1944Q1;;
AGO;1944Q2;;
AGO;1944Q3;;
AGO;1944Q4;;
AGO;1945Q1;;
AGO;1945Q2;;
AGO;1945Q3;;
AGO;1945Q4;;
AGO;1946Q1;;
AGO;1946Q2;;
AGO;1946Q3;;
AGO;1946Q4;;
